bundle_size,subtasks_json
6,"[{""type"": ""nthword"", ""instr"": ""What is word number 3 in this sentence: \""better late than never but never late is better\""?"", ""gold"": ""than""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""banana\""?"", ""gold"": ""a""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 44, 70, 95, 18, 17?"", ""gold"": ""95""}, {""type"": ""add"", ""instr"": ""Add 848 and 818."", ""gold"": ""1666""}, {""type"": ""upper"", ""instr"": ""Write \""planet\"" in all capital letters."", ""gold"": ""PLANET""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""forest\""."", ""gold"": ""tserof""}]"
6,"[{""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 69, 55, 31, 88, 24?"", ""gold"": ""88""}, {""type"": ""upper"", ""instr"": ""Write \""pencil\"" in all capital letters."", ""gold"": ""PENCIL""}, {""type"": ""nthword"", ""instr"": ""What is word number 5 in this sentence: \""the quick brown fox jumps over the lazy dog\""?"", ""gold"": ""jumps""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""planet\""."", ""gold"": ""tenalp""}, {""type"": ""add"", ""instr"": ""Add 232 and 856."", ""gold"": ""1088""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""all that glitters is not gold in the end\"""", ""gold"": ""9""}]"
9,"[{""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 27, 65, 80, 45."", ""gold"": ""27, 45, 65, 80""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""dragon\""?"", ""gold"": ""n""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 63, 55, 97, 58, 39?"", ""gold"": ""97""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""system\""."", ""gold"": ""metsys""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""a journey of a thousand miles begins with a single step\"""", ""gold"": ""11""}, {""type"": ""multiply"", ""instr"": ""Multiply 33 by 30."", ""gold"": ""990""}, {""type"": ""nthword"", ""instr"": ""What is word number 5 in this sentence: \""all that glitters is not gold in the end\""?"", ""gold"": ""not""}, {""type"": ""add"", ""instr"": ""Add 112 and 596."", ""gold"": ""708""}, {""type"": ""upper"", ""instr"": ""Write \""silver\"" in all capital letters."", ""gold"": ""SILVER""}]"
9,"[{""type"": ""add"", ""instr"": ""Add 228 and 807."", ""gold"": ""1035""}, {""type"": ""upper"", ""instr"": ""Write \""rocket\"" in all capital letters."", ""gold"": ""ROCKET""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""silver\""?"", ""gold"": ""r""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the quick brown fox jumps over the lazy dog\"""", ""gold"": ""9""}, {""type"": ""multiply"", ""instr"": ""Multiply 69 by 98."", ""gold"": ""6762""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""rocket\""."", ""gold"": ""tekcor""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 60, 61, 23, 71."", ""gold"": ""23, 60, 61, 71""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 91, 61, 17, 34, 18?"", ""gold"": ""91""}, {""type"": ""nthword"", ""instr"": ""What is word number 9 in this sentence: \""all that glitters is not gold in the end\""?"", ""gold"": ""end""}]"
9,"[{""type"": ""add"", ""instr"": ""Add 472 and 728."", ""gold"": ""1200""}, {""type"": ""multiply"", ""instr"": ""Multiply 14 by 20."", ""gold"": ""280""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""orange\""?"", ""gold"": ""e""}, {""type"": ""upper"", ""instr"": ""Write \""silver\"" in all capital letters."", ""gold"": ""SILVER""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""practice makes perfect if you keep at it\"""", ""gold"": ""8""}, {""type"": ""nthword"", ""instr"": ""What is word number 7 in this sentence: \""she sells sea shells by the sea shore\""?"", ""gold"": ""sea""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""planet\""."", ""gold"": ""tenalp""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 54, 87, 56, 70."", ""gold"": ""54, 56, 70, 87""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 25, 24, 72, 69, 71?"", ""gold"": ""72""}]"
9,"[{""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 98, 30, 76, 12, 36?"", ""gold"": ""98""}, {""type"": ""upper"", ""instr"": ""Write \""rocket\"" in all capital letters."", ""gold"": ""ROCKET""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the early bird catches the worm every morning\"""", ""gold"": ""8""}, {""type"": ""multiply"", ""instr"": ""Multiply 29 by 99."", ""gold"": ""2871""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 79, 13, 77, 48."", ""gold"": ""13, 48, 77, 79""}, {""type"": ""add"", ""instr"": ""Add 758 and 984."", ""gold"": ""1742""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""banana\""."", ""gold"": ""ananab""}, {""type"": ""nthword"", ""instr"": ""What is word number 10 in this sentence: \""to be or not to be that is the question\""?"", ""gold"": ""question""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""guitar\""?"", ""gold"": ""r""}]"
12,"[{""type"": ""add"", ""instr"": ""Add 332 and 304."", ""gold"": ""636""}, {""type"": ""nthword"", ""instr"": ""What is word number 7 in this sentence: \""better late than never but never late is better\""?"", ""gold"": ""late""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 13, 45, 70, 43."", ""gold"": ""13, 43, 45, 70""}, {""type"": ""multiply"", ""instr"": ""Multiply 35 by 99."", ""gold"": ""3465""}, {""type"": ""upper"", ""instr"": ""Write \""silver\"" in all capital letters."", ""gold"": ""SILVER""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""guitar\""?"", ""gold"": ""r""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""pencil\""."", ""gold"": ""licnep""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the early bird catches the worm every morning\"""", ""gold"": ""8""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 56, 20, 38, 23, 39?"", ""gold"": ""56""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 70, 35, 53, 36, 71?"", ""gold"": ""71""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 89, 88, 10, 71, 93?"", ""gold"": ""93""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 54, 92, 20, 94."", ""gold"": ""20, 54, 92, 94""}]"
12,"[{""type"": ""multiply"", ""instr"": ""Multiply 70 by 62."", ""gold"": ""4340""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 20, 30, 31, 26."", ""gold"": ""20, 26, 30, 31""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 13, 29, 85, 69, 93?"", ""gold"": ""93""}, {""type"": ""nthword"", ""instr"": ""What is word number 6 in this sentence: \""she sells sea shells by the sea shore\""?"", ""gold"": ""the""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""silver\""?"", ""gold"": ""r""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""pencil\""."", ""gold"": ""licnep""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the early bird catches the worm every morning\"""", ""gold"": ""8""}, {""type"": ""upper"", ""instr"": ""Write \""system\"" in all capital letters."", ""gold"": ""SYSTEM""}, {""type"": ""add"", ""instr"": ""Add 661 and 661."", ""gold"": ""1322""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""she sells sea shells by the sea shore\"""", ""gold"": ""8""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""hello\""?"", ""gold"": ""o""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 11, 93, 23, 77."", ""gold"": ""11, 23, 77, 93""}]"
12,"[{""type"": ""add"", ""instr"": ""Add 657 and 529."", ""gold"": ""1186""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 26, 17, 55, 68."", ""gold"": ""17, 26, 55, 68""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 94, 84, 76, 63, 74?"", ""gold"": ""94""}, {""type"": ""multiply"", ""instr"": ""Multiply 27 by 79."", ""gold"": ""2133""}, {""type"": ""nthword"", ""instr"": ""What is word number 6 in this sentence: \""she sells sea shells by the sea shore\""?"", ""gold"": ""the""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the quick brown fox jumps over the lazy dog\"""", ""gold"": ""9""}, {""type"": ""upper"", ""instr"": ""Write \""pencil\"" in all capital letters."", ""gold"": ""PENCIL""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""system\""."", ""gold"": ""metsys""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""silver\""?"", ""gold"": ""r""}, {""type"": ""upper"", ""instr"": ""Write \""hello\"" in all capital letters."", ""gold"": ""HELLO""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 29, 32, 28, 70."", ""gold"": ""28, 29, 32, 70""}, {""type"": ""add"", ""instr"": ""Add 733 and 842."", ""gold"": ""1575""}]"
12,"[{""type"": ""multiply"", ""instr"": ""Multiply 68 by 82."", ""gold"": ""5576""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""the quick brown fox jumps over the lazy dog\"""", ""gold"": ""9""}, {""type"": ""add"", ""instr"": ""Add 878 and 164."", ""gold"": ""1042""}, {""type"": ""nthword"", ""instr"": ""What is word number 7 in this sentence: \""better late than never but never late is better\""?"", ""gold"": ""late""}, {""type"": ""upper"", ""instr"": ""Write \""silver\"" in all capital letters."", ""gold"": ""SILVER""}, {""type"": ""reverse"", ""instr"": ""Reverse the string \""rocket\""."", ""gold"": ""tekcor""}, {""type"": ""maxnum"", ""instr"": ""What is the largest of these numbers: 87, 75, 35, 98, 45?"", ""gold"": ""98""}, {""type"": ""sortnums"", ""instr"": ""Sort these numbers in ascending order: 67, 75, 78, 71."", ""gold"": ""67, 71, 75, 78""}, {""type"": ""lastchar"", ""instr"": ""What is the last letter of the word \""rocket\""?"", ""gold"": ""t""}, {""type"": ""multiply"", ""instr"": ""Multiply 42 by 77."", ""gold"": ""3234""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""to be or not to be that is the question\"""", ""gold"": ""10""}, {""type"": ""wordcount"", ""instr"": ""Count the number of words in this sentence: \""all that glitters is not gold in the end\"""", ""gold"": ""9""}]"
